Date,Time,Day of the Week,Origin,Destination,Route,Weather Conditions,Accident Reports,Traffic Intensity,Distance
2025-03-23,12:06:28,Sunday,Bệnh viện Quận 5,Trung tâm Y tế Quận 5,Đường Lý Tự Trọng,Stormy,1,5,7.07
2025-03-16,06:12:28,Sunday,Trường Trung học Chợ Lớn,Cửa hàng Điện máy X,Đường Nguyễn Văn Quá,Sunny,2,28,4.91
2025-02-27,09:53:28,Thursday,Trạm xe buýt Quận 5,Bệnh viện Quận 5,Đường Lê Văn Sỹ,Rainy,1,62,4.96
2025-02-25,10:06:28,Tuesday,Trung tâm Y tế Quận 5,Trạm xe buýt Quận 5,Đường Tô Hiệu,Cloudy,3,51,6.56
2025-03-20,15:31:28,Thursday,Bảo tàng Quận 5,Chợ Bình Đông,Đường Đồng Khởi,Rainy,1,53,3.9
2025-03-21,01:14:28,Friday,Bưu điện Chợ Lớn,Trường Tiểu học Chợ Lớn,Đường Nguyễn Văn Linh,Rainy,1,45,4.09
2025-03-04,17:52:28,Tuesday,Siêu thị Big C District 5,Bệnh viện Quận 5,Đường Cái Vạn,Cloudy,2,18,4.16
2025-03-10,19:49:28,Monday,Bưu điện Chợ Lớn,Đền Bà Thiên Hậu,Đường Nguyễn Văn Quá,Cloudy,1,26,7.47
2025-03-26,05:23:28,Wednesday,Bệnh viện Quận 5,Chợ Bình Đông,Đường Đồng Khởi,Sunny,1,55,0.73
2025-02-26,02:46:28,Wednesday,Chợ Bình Đông,Bưu điện Chợ Lớn,Đường Đồng Khởi,Sunny,0,41,6.64
2025-03-21,07:11:28,Friday,Bệnh viện Quận 5,Trung tâm Văn hóa Dân gian,Đường Nguyễn Văn Linh,Sunny,1,23,10.36
2025-03-10,04:52:28,Monday,Đền Bà Thiên Hậu,Ngã tư Lê Văn Sỹ,Đường Lý Thường Kiệt,Cloudy,1,66,4.11
2025-03-26,12:30:28,Wednesday,Trạm xe buýt Quận 5,Sân vận động Quận 5,Đường Nguyễn Văn Quá,Cloudy,1,28,7.11
2025-03-10,18:20:28,Monday,Ngã tư Lê Văn Sỹ,Công viên District 5,Đường Pasteur,Cloudy,1,27,0.5
2025-03-06,01:44:28,Thursday,Bưu điện Chợ Lớn,Đền Bà Thiên Hậu,Đường Lê Lợi,Sunny,2,29,6.22
2025-03-02,23:16:28,Sunday,Trường Trung học Chợ Lớn,Trường Tiểu học Chợ Lớn,Đường Nguyễn Văn Quá,Cloudy,1,44,5.86
2025-03-06,08:30:28,Thursday,Cửa hàng Điện máy X,Công viên District 5,Đường Cách Mạng Tháng Tám,Sunny,0,23,7.05
2025-03-24,20:15:28,Monday,Trung tâm Văn hóa Dân gian,Chợ Bình Đông,Đường Đồng Khởi,Sunny,1,35,4.71
2025-03-13,21:32:28,Thursday,Bệnh viện Quận 5,Trung tâm Y tế Quận 5,Đường Lý Tự Trọng,Sunny,1,54,3.37
2025-03-08,02:09:28,Saturday,Trung tâm Văn hóa Dân gian,Trung tâm Văn hóa Chợ Lớn,Đường Đồng Khởi,Sunny,2,10,6.02
2025-03-25,04:11:28,Tuesday,Đền Vua,Trường Tiểu học Chợ Lớn,Đường Bạch Đằng,Sunny,3,9,6.01
2025-03-26,10:29:28,Wednesday,Ngã tư Lê Văn Sỹ,Siêu thị Big C District 5,Đường Nguyễn Văn Quá,Sunny,0,23,3.27
2025-03-03,12:11:28,Monday,Nhà thờ Chợ Lớn,Trung tâm Văn hóa Dân gian,Đường Lê Văn Sỹ,Sunny,3,49,2.04
2025-03-23,23:50:28,Sunday,Trung tâm Thương Mại Chợ Lớn,Chợ Bình Đông,Đường Cách Mạng Tháng Tám,Sunny,2,21,6.91
2025-03-01,12:40:28,Saturday,Trạm xe buýt Quận 5,Trung tâm Văn hóa Dân gian,Đường 3/2,Sunny,2,43,10.77
2025-02-28,13:43:28,Friday,Công viên District 5,Nhà thờ Chợ Lớn,Đường Trường Chinh,Sunny,1,13,5.98
2025-03-06,19:07:28,Thursday,Đền Vua,Chợ Bình Tây,Đường 3/2,Sunny,2,43,7.87
2025-03-06,15:15:28,Thursday,Trung tâm Y tế Quận 5,Bưu điện Chợ Lớn,Đường Trường Chinh,Rainy,2,18,1.79
2025-03-04,12:28:28,Tuesday,Ngã tư Lê Văn Sỹ,Trường Trung học Chợ Lớn,Đường Pasteur,Rainy,1,17,6.73
2025-03-18,19:19:28,Tuesday,Bưu điện Chợ Lớn,Ngã tư Lê Văn Sỹ,Đường Trần Hưng Đạo,Cloudy,1,15,3.48
2025-03-09,08:32:28,Sunday,Trạm xe buýt Quận 5,Đền Vua,Đường Pasteur,Sunny,2,16,1.86
2025-02-26,16:55:28,Wednesday,Bệnh viện Quận 5,Nhà thờ Chợ Lớn,Đường Trường Chinh,Sunny,4,35,8.71
2025-03-12,05:33:28,Wednesday,Trạm xe buýt Quận 5,Siêu thị Big C District 5,Đường Lý Thường Kiệt,Rainy,2,23,5.33
2025-03-18,05:23:28,Tuesday,Cửa hàng Điện máy X,Trung tâm Văn hóa Chợ Lớn,Đường Cách Mạng Tháng Tám,Sunny,0,30,7.68
2025-03-19,21:29:28,Wednesday,Trung tâm Văn hóa Chợ Lớn,Trung tâm Y tế Quận 5,Đường Pasteur,Cloudy,0,19,4.52
2025-02-26,22:16:28,Wednesday,Công viên District 5,Trung tâm Thương Mại Chợ Lớn,Đường Nguyễn Văn Linh,Cloudy,2,15,4.2
2025-03-17,08:33:28,Monday,Bệnh viện Quận 5,Sân vận động Quận 5,Đường Trần Hưng Đạo,Cloudy,5,35,6.83
2025-03-19,09:06:28,Wednesday,Trường Trung học Chợ Lớn,Đền Vua,Đường Lê Văn Sỹ,Cloudy,0,22,6.64
2025-03-06,22:24:28,Thursday,Trường Trung học Chợ Lớn,Chợ Bình Đông,Đường Cách Mạng Tháng Tám,Sunny,1,13,5.13
2025-03-10,18:07:28,Monday,Chợ Bình Đông,Trung tâm Thương Mại Chợ Lớn,Đường 3/2,Sunny,1,10,4.03
2025-02-27,03:14:28,Thursday,Chợ Bình Đông,Trường Trung học Chợ Lớn,Đường Đồng Khởi,Rainy,2,18,3.62
2025-02-25,00:12:28,Tuesday,Trung tâm Văn hóa Dân gian,Ngã tư Lê Văn Sỹ,Đường Lý Thường Kiệt,Cloudy,0,16,2.05
2025-03-18,08:26:28,Tuesday,Bảo tàng Quận 5,Ngã tư Lê Văn Sỹ,Đường Nguyễn Văn Linh,Stormy,1,23,6.52
2025-03-20,18:03:28,Thursday,Bưu điện Chợ Lớn,Trung tâm Y tế Quận 5,Đường Cái Vạn,Cloudy,0,49,5.98
2025-02-24,20:29:28,Monday,Trung tâm Văn hóa Dân gian,Trạm xe buýt Quận 5,Đường Bạch Đằng,Sunny,0,18,7.53
2025-03-20,13:22:28,Thursday,Siêu thị Big C District 5,Đền Bà Thiên Hậu,Đường Pasteur,Sunny,1,20,3.88
2025-03-04,04:36:28,Tuesday,Ngã tư Lê Văn Sỹ,Trung tâm Thương Mại Chợ Lớn,Đường Nguyễn Văn Quá,Sunny,0,13,5.34
2025-03-02,14:09:28,Sunday,Ngã tư Lê Văn Sỹ,Công viên District 5,Đường Cái Vạn,Sunny,2,24,7.04
2025-03-13,18:36:28,Thursday,Bệnh viện Quận 5,Công viên District 5,Đường 3/2,Sunny,0,35,3.2
2025-03-07,21:20:28,Friday,Trạm xe buýt Quận 5,Bưu điện Chợ Lớn,Đường Cách Mạng Tháng Tám,Sunny,2,28,4.41
2025-03-09,21:09:28,Sunday,Đền Vua,Trường Tiểu học Chợ Lớn,Đường Cái Vạn,Cloudy,0,38,5.72
2025-03-22,09:51:28,Saturday,Trung tâm Y tế Quận 5,Trường Tiểu học Chợ Lớn,Đường Lý Thường Kiệt,Sunny,4,36,4.79
2025-03-25,18:49:28,Tuesday,Ngã tư Lê Văn Sỹ,Đền Bà Thiên Hậu,Đường Lý Thường Kiệt,Sunny,1,12,6.57
2025-03-24,15:16:28,Monday,Bảo tàng Quận 5,Đền Bà Thiên Hậu,Đường Trần Hưng Đạo,Sunny,1,37,5.34
2025-03-17,11:21:28,Monday,Nhà thờ Chợ Lớn,Trường Trung học Chợ Lớn,Đường Trần Hưng Đạo,Sunny,0,32,4.08
2025-03-12,10:31:28,Wednesday,Bệnh viện Quận 5,Trung tâm Y tế Quận 5,Đường Trần Hưng Đạo,Sunny,0,78,4.35
2025-03-16,03:05:28,Sunday,Bảo tàng Quận 5,Trường Tiểu học Chợ Lớn,Đường 3/2,Cloudy,2,3,5.77
2025-03-03,12:25:28,Monday,Trung tâm Văn hóa Dân gian,Bưu điện Chợ Lớn,Đường Lý Thường Kiệt,Sunny,2,37,5.66
2025-03-03,14:31:28,Monday,Đền Vua,Trung tâm Thương Mại Chợ Lớn,Đường Lý Tự Trọng,Sunny,0,42,5.93
2025-03-10,03:25:28,Monday,Công viên District 5,Trung tâm Văn hóa Dân gian,Đường Lý Thường Kiệt,Sunny,0,44,3.93
2025-03-08,18:52:28,Saturday,Bưu điện Chợ Lớn,Sân vận động Quận 5,Đường Nguyễn Văn Linh,Rainy,2,42,6.69
2025-03-03,21:17:28,Monday,Trung tâm Văn hóa Chợ Lớn,Công viên District 5,Đường Bạch Đằng,Sunny,2,13,3.66
2025-03-12,20:54:28,Wednesday,Trường Tiểu học Chợ Lớn,Bưu điện Chợ Lớn,Đường Lê Lợi,Sunny,1,43,4.11
2025-03-02,14:32:28,Sunday,Trung tâm Y tế Quận 5,Trung tâm Văn hóa Dân gian,Đường Bạch Đằng,Sunny,0,14,5.16
2025-02-25,23:03:28,Tuesday,Bệnh viện Quận 5,Trường Tiểu học Chợ Lớn,Đường Lý Tự Trọng,Stormy,0,27,4.22
2025-03-08,14:51:28,Saturday,Bưu điện Chợ Lớn,Trung tâm Văn hóa Dân gian,Đường Lý Tự Trọng,Cloudy,3,46,7.64
2025-03-02,07:43:28,Sunday,Nhà thờ Chợ Lớn,Trung tâm Y tế Quận 5,Đường Đồng Khởi,Cloudy,1,9,3.88
2025-03-14,05:15:28,Friday,Trung tâm Văn hóa Chợ Lớn,Bưu điện Chợ Lớn,Đường 3/2,Cloudy,3,50,3.75
2025-03-02,06:17:28,Sunday,Trung tâm Văn hóa Chợ Lớn,Công viên District 5,Đường Đồng Khởi,Sunny,0,26,5.28
2025-03-07,06:51:28,Friday,Đền Bà Thiên Hậu,Nhà thờ Chợ Lớn,Đường Lê Văn Sỹ,Stormy,0,23,5.15
2025-02-24,21:18:28,Monday,Trung tâm Văn hóa Dân gian,Bảo tàng Quận 5,Đường Cách Mạng Tháng Tám,Sunny,4,37,6.66
2025-02-28,06:46:28,Friday,Trung tâm Văn hóa Dân gian,Trung tâm Thương Mại Chợ Lớn,Đường Pasteur,Sunny,0,55,6.46
2025-03-19,18:56:28,Wednesday,Bệnh viện Quận 5,Trung tâm Thương Mại Chợ Lớn,Đường Cách Mạng Tháng Tám,Cloudy,2,37,2.44
2025-03-08,12:22:28,Saturday,Trung tâm Thương Mại Chợ Lớn,Trung tâm Văn hóa Dân gian,Đường Lê Lợi,Sunny,1,21,1.57
2025-03-01,05:06:28,Saturday,Ngã tư Lê Văn Sỹ,Siêu thị Big C District 5,Đường Nguyễn Văn Quá,Sunny,3,37,6.13
2025-03-23,10:16:28,Sunday,Trung tâm Văn hóa Chợ Lớn,Trung tâm Thương Mại Chợ Lớn,Đường 3/2,Sunny,0,9,3.74
2025-02-26,06:26:28,Wednesday,Đền Vua,Trường Tiểu học Chợ Lớn,Đường Lý Thường Kiệt,Sunny,1,22,4.99
2025-02-25,07:49:28,Tuesday,Siêu thị Big C District 5,Trường Tiểu học Chợ Lớn,Đường 3/2,Rainy,4,44,9.21
2025-03-13,19:58:28,Thursday,Trung tâm Văn hóa Dân gian,Ngã tư Lê Văn Sỹ,Đường Cách Mạng Tháng Tám,Cloudy,0,7,6.52
2025-03-07,01:18:28,Friday,Trung tâm Thương Mại Chợ Lớn,Nhà thờ Chợ Lớn,Đường Lê Văn Sỹ,Sunny,1,33,5.1
2025-03-19,17:26:28,Wednesday,Trung tâm Văn hóa Dân gian,Đền Bà Thiên Hậu,Đường Cách Mạng Tháng Tám,Sunny,0,22,2.28
2025-03-13,01:39:28,Thursday,Đền Vua,Công viên District 5,Đường Bạch Đằng,Sunny,1,23,2.67
2025-03-11,01:53:28,Tuesday,Đền Bà Thiên Hậu,Bệnh viện Quận 5,Đường Cái Vạn,Sunny,1,16,4.71
2025-03-11,03:50:28,Tuesday,Trường Tiểu học Chợ Lớn,Trường Trung học Chợ Lớn,Đường Lý Tự Trọng,Sunny,2,21,8.37
2025-03-24,03:01:28,Monday,Bưu điện Chợ Lớn,Trung tâm Văn hóa Dân gian,Đường Nguyễn Văn Quá,Sunny,0,22,3.99
2025-03-18,21:08:28,Tuesday,Công viên District 5,Nhà thờ Chợ Lớn,Đường Cách Mạng Tháng Tám,Sunny,2,26,6.61
2025-02-25,03:27:28,Tuesday,Trạm xe buýt Quận 5,Trung tâm Văn hóa Chợ Lớn,Đường Trần Hưng Đạo,Sunny,1,32,7.86
2025-03-12,23:15:28,Wednesday,Cửa hàng Điện máy X,Ngã tư Lê Văn Sỹ,Đường Pasteur,Sunny,2,14,4.09
2025-03-26,02:46:28,Wednesday,Đền Vua,Trường Tiểu học Chợ Lớn,Đường Pasteur,Sunny,1,30,3.56
2025-03-01,08:42:28,Saturday,Trung tâm Văn hóa Chợ Lớn,Siêu thị Big C District 5,Đường 3/2,Sunny,0,45,2.07
2025-03-26,07:15:28,Wednesday,Trường Tiểu học Chợ Lớn,Sân vận động Quận 5,Đường Lý Thường Kiệt,Sunny,1,56,6.58
2025-03-21,09:32:28,Friday,Siêu thị Big C District 5,Nhà thờ Chợ Lớn,Đường Cách Mạng Tháng Tám,Cloudy,1,22,7.33
2025-03-05,17:10:28,Wednesday,Trạm xe buýt Quận 5,Trung tâm Văn hóa Chợ Lớn,Đường Cái Vạn,Sunny,0,30,0.5
2025-03-15,13:19:28,Saturday,Trạm xe buýt Quận 5,Đền Vua,Đường Lý Thường Kiệt,Rainy,1,38,3.73
2025-03-22,00:34:28,Saturday,Công viên District 5,Sân vận động Quận 5,Đường Nguyễn Văn Linh,Cloudy,1,20,8.51
2025-03-16,08:53:28,Sunday,Chợ Bình Đông,Bảo tàng Quận 5,Đường Lê Văn Sỹ,Cloudy,1,39,5.78
2025-03-19,10:53:28,Wednesday,Chợ Bình Tây,Bệnh viện Quận 5,Đường Pasteur,Sunny,0,36,3.97
2025-03-02,09:21:28,Sunday,Trường Trung học Chợ Lớn,Đền Bà Thiên Hậu,Đường Pasteur,Sunny,1,47,8.57
2025-03-05,04:16:28,Wednesday,Trung tâm Y tế Quận 5,Bảo tàng Quận 5,Đường Nguyễn Văn Linh,Cloudy,1,47,2.15
2025-03-19,21:23:28,Wednesday,Chợ Bình Đông,Bệnh viện Quận 5,Đường Lý Tự Trọng,Cloudy,2,30,3.61
2025-03-14,00:07:28,Friday,Trạm xe buýt Quận 5,Trung tâm Y tế Quận 5,Đường Lê Văn Sỹ,Cloudy,0,63,7.18
2025-03-05,22:33:28,Wednesday,Bệnh viện Quận 5,Chợ Bình Tây,Đường Nguyễn Văn Quá,Cloudy,3,49,3.3
2025-03-23,11:16:28,Sunday,Chợ Bình Tây,Ngã tư Lê Văn Sỹ,Đường Lý Tự Trọng,Cloudy,2,26,3.52
2025-03-20,10:03:28,Thursday,Đền Vua,Trường Trung học Chợ Lớn,Đường Tô Hiệu,Sunny,0,27,3.71
2025-03-08,17:49:28,Saturday,Trạm xe buýt Quận 5,Bưu điện Chợ Lớn,Đường Nguyễn Văn Quá,Sunny,0,34,6.8
2025-03-20,19:19:28,Thursday,Trung tâm Thương Mại Chợ Lớn,Trường Trung học Chợ Lớn,Đường Cái Vạn,Cloudy,1,42,3.44
2025-03-09,03:55:28,Sunday,Trung tâm Văn hóa Chợ Lớn,Đền Vua,Đường Tô Hiệu,Cloudy,0,31,9.62
2025-03-25,18:13:28,Tuesday,Trung tâm Thương Mại Chợ Lớn,Trường Tiểu học Chợ Lớn,Đường Đồng Khởi,Sunny,1,19,5.54
2025-03-26,01:01:28,Wednesday,Công viên District 5,Siêu thị Big C District 5,Đường Trần Hưng Đạo,Sunny,0,12,6.45
2025-03-21,12:29:28,Friday,Đền Vua,Trung tâm Văn hóa Chợ Lớn,Đường Lê Văn Sỹ,Rainy,0,19,2.99
2025-03-09,22:38:28,Sunday,Nhà thờ Chợ Lớn,Đền Bà Thiên Hậu,Đường Nguyễn Văn Linh,Rainy,1,23,6.65
2025-03-12,16:48:28,Wednesday,Trung tâm Thương Mại Chợ Lớn,Đền Vua,Đường Nguyễn Văn Quá,Sunny,0,16,4.16
2025-02-25,05:36:28,Tuesday,Trạm xe buýt Quận 5,Cửa hàng Điện máy X,Đường 3/2,Cloudy,2,23,2.03
2025-03-13,21:45:28,Thursday,Đền Vua,Siêu thị Big C District 5,Đường Đồng Khởi,Sunny,1,6,3.47
2025-03-16,15:31:28,Sunday,Trung tâm Thương Mại Chợ Lớn,Nhà thờ Chợ Lớn,Đường Cách Mạng Tháng Tám,Sunny,2,14,3.7
2025-03-25,04:26:28,Tuesday,Trung tâm Y tế Quận 5,Trung tâm Văn hóa Chợ Lớn,Đường Lý Tự Trọng,Sunny,1,20,4.88
2025-03-16,06:28:28,Sunday,Công viên District 5,Trung tâm Văn hóa Chợ Lớn,Đường Lý Thường Kiệt,Sunny,1,26,7.2
2025-03-19,02:15:28,Wednesday,Bệnh viện Quận 5,Sân vận động Quận 5,Đường Nguyễn Văn Quá,Rainy,2,14,5.56
2025-03-04,12:53:28,Tuesday,Trường Tiểu học Chợ Lớn,Cửa hàng Điện máy X,Đường Lý Tự Trọng,Rainy,3,49,1.31
2025-03-04,17:35:28,Tuesday,Trường Trung học Chợ Lớn,Chợ Bình Tây,Đường Cách Mạng Tháng Tám,Sunny,0,15,6.49
2025-03-04,14:39:28,Tuesday,Trung tâm Y tế Quận 5,Siêu thị Big C District 5,Đường Lê Lợi,Sunny,1,17,6.91
2025-02-27,19:13:28,Thursday,Trung tâm Văn hóa Dân gian,Trung tâm Thương Mại Chợ Lớn,Đường Lý Tự Trọng,Rainy,1,18,6.49
2025-03-14,20:10:28,Friday,Bưu điện Chợ Lớn,Ngã tư Lê Văn Sỹ,Đường Nguyễn Văn Quá,Cloudy,2,18,4.39
2025-02-25,01:24:28,Tuesday,Siêu thị Big C District 5,Bưu điện Chợ Lớn,Đường Lê Văn Sỹ,Sunny,2,26,6.8
2025-03-01,12:43:28,Saturday,Chợ Bình Tây,Đền Bà Thiên Hậu,Đường Nguyễn Văn Quá,Sunny,3,33,5.96
2025-02-28,07:50:28,Friday,Đền Vua,Trung tâm Văn hóa Chợ Lớn,Đường Nguyễn Văn Linh,Cloudy,0,40,0.5
2025-02-24,22:47:28,Monday,Bưu điện Chợ Lớn,Trạm xe buýt Quận 5,Đường Bạch Đằng,Rainy,0,43,5.37
2025-02-28,09:20:28,Friday,Trường Tiểu học Chợ Lớn,Trung tâm Văn hóa Chợ Lớn,Đường Lý Tự Trọng,Cloudy,0,40,6.94
2025-03-16,17:51:28,Sunday,Bệnh viện Quận 5,Trường Trung học Chợ Lớn,Đường Trần Hưng Đạo,Sunny,4,34,7.1
2025-03-07,14:50:28,Friday,Đền Bà Thiên Hậu,Trạm xe buýt Quận 5,Đường Bạch Đằng,Sunny,1,66,5.02
2025-03-21,06:18:28,Friday,Bưu điện Chợ Lớn,Chợ Bình Tây,Đường Tô Hiệu,Sunny,1,6,3.24
2025-03-21,07:25:28,Friday,Trường Trung học Chợ Lớn,Bưu điện Chợ Lớn,Đường Đồng Khởi,Rainy,1,15,5.89
2025-03-15,10:08:28,Saturday,Trung tâm Văn hóa Chợ Lớn,Chợ Bình Tây,Đường Lý Thường Kiệt,Sunny,1,20,6.14
2025-03-06,20:07:28,Thursday,Trung tâm Văn hóa Dân gian,Trung tâm Y tế Quận 5,Đường Nguyễn Văn Quá,Sunny,1,19,0.5
2025-03-09,13:50:28,Sunday,Trung tâm Thương Mại Chợ Lớn,Trung tâm Y tế Quận 5,Đường Nguyễn Văn Linh,Rainy,1,34,7.65
2025-03-01,15:18:28,Saturday,Bảo tàng Quận 5,Bệnh viện Quận 5,Đường 3/2,Sunny,2,14,6.1
2025-03-09,08:20:28,Sunday,Công viên District 5,Chợ Bình Đông,Đường Pasteur,Sunny,2,7,6.7
2025-03-12,22:17:28,Wednesday,Chợ Bình Đông,Đền Bà Thiên Hậu,Đường Pasteur,Sunny,1,13,4.91
2025-03-16,00:42:28,Sunday,Ngã tư Lê Văn Sỹ,Nhà thờ Chợ Lớn,Đường Pasteur,Sunny,1,8,4.41
2025-03-15,21:00:28,Saturday,Trung tâm Văn hóa Chợ Lớn,Trường Trung học Chợ Lớn,Đường Pasteur,Rainy,1,9,5.79
2025-03-12,09:03:28,Wednesday,Bưu điện Chợ Lớn,Đền Vua,Đường Lý Thường Kiệt,Sunny,1,35,3.27
2025-03-13,07:42:28,Thursday,Đền Vua,Chợ Bình Đông,Đường Trường Chinh,Sunny,1,34,5.1
2025-03-03,06:53:28,Monday,Trung tâm Văn hóa Chợ Lớn,Nhà thờ Chợ Lớn,Đường Nguyễn Văn Quá,Sunny,2,34,2.14
2025-03-18,07:06:28,Tuesday,Chợ Bình Đông,Bưu điện Chợ Lớn,Đường Pasteur,Sunny,3,37,5.16
2025-03-09,04:42:28,Sunday,Trung tâm Văn hóa Chợ Lớn,Chợ Bình Đông,Đường Trần Hưng Đạo,Stormy,3,19,3.06
2025-03-04,19:11:28,Tuesday,Trung tâm Y tế Quận 5,Công viên District 5,Đường Trần Hưng Đạo,Sunny,2,40,3.86
2025-03-18,10:13:28,Tuesday,Trung tâm Văn hóa Dân gian,Siêu thị Big C District 5,Đường Trường Chinh,Cloudy,0,7,3.13
2025-03-02,19:30:28,Sunday,Trung tâm Thương Mại Chợ Lớn,Trung tâm Y tế Quận 5,Đường Lê Văn Sỹ,Cloudy,0,36,2.19
2025-03-21,00:59:28,Friday,Trạm xe buýt Quận 5,Bảo tàng Quận 5,Đường Đồng Khởi,Cloudy,1,35,4.55
2025-03-06,23:52:28,Thursday,Trung tâm Y tế Quận 5,Chợ Bình Đông,Đường Pasteur,Cloudy,1,9,5.75
2025-03-20,12:05:28,Thursday,Cửa hàng Điện máy X,Trung tâm Thương Mại Chợ Lớn,Đường Bạch Đằng,Sunny,2,28,4.32
2025-03-12,23:36:28,Wednesday,Chợ Bình Tây,Trường Tiểu học Chợ Lớn,Đường Tô Hiệu,Sunny,0,2,3.17
2025-03-21,22:25:28,Friday,Bảo tàng Quận 5,Trung tâm Văn hóa Chợ Lớn,Đường Lý Thường Kiệt,Sunny,0,36,6.48
2025-03-12,10:06:28,Wednesday,Công viên District 5,Trung tâm Văn hóa Chợ Lớn,Đường Cách Mạng Tháng Tám,Sunny,1,11,6.0
2025-03-21,14:55:28,Friday,Trung tâm Văn hóa Dân gian,Trung tâm Thương Mại Chợ Lớn,Đường Lê Lợi,Rainy,0,31,3.92
2025-02-27,01:33:28,Thursday,Trung tâm Văn hóa Chợ Lớn,Bưu điện Chợ Lớn,Đường Bạch Đằng,Cloudy,0,20,6.04
2025-03-13,16:49:28,Thursday,Chợ Bình Tây,Trung tâm Văn hóa Dân gian,Đường Trần Hưng Đạo,Sunny,1,22,3.79
2025-03-01,08:19:28,Saturday,Cửa hàng Điện máy X,Chợ Bình Đông,Đường Lý Tự Trọng,Rainy,2,69,6.89
2025-03-03,17:18:28,Monday,Chợ Bình Tây,Trung tâm Văn hóa Chợ Lớn,Đường Trần Hưng Đạo,Sunny,2,23,3.26
2025-03-07,16:11:28,Friday,Chợ Bình Đông,Chợ Bình Tây,Đường Pasteur,Rainy,0,26,3.17
2025-03-15,11:27:28,Saturday,Trung tâm Văn hóa Chợ Lớn,Bệnh viện Quận 5,Đường Lý Tự Trọng,Cloudy,1,14,9.53
2025-03-20,12:38:28,Thursday,Trường Trung học Chợ Lớn,Bảo tàng Quận 5,Đường Lê Văn Sỹ,Cloudy,0,10,2.77
2025-03-16,17:28:28,Sunday,Chợ Bình Tây,Trường Trung học Chợ Lớn,Đường 3/2,Sunny,0,72,2.58
2025-03-25,18:15:28,Tuesday,Đền Bà Thiên Hậu,Siêu thị Big C District 5,Đường Trường Chinh,Sunny,0,51,2.98
2025-03-03,19:40:28,Monday,Chợ Bình Tây,Trung tâm Y tế Quận 5,Đường Tô Hiệu,Sunny,0,5,4.62
2025-03-17,04:44:28,Monday,Trạm xe buýt Quận 5,Đền Vua,Đường Lý Thường Kiệt,Cloudy,1,47,6.34
2025-03-10,10:48:28,Monday,Trung tâm Thương Mại Chợ Lớn,Trung tâm Văn hóa Dân gian,Đường Lý Thường Kiệt,Sunny,1,18,3.42
2025-02-28,16:57:28,Friday,Ngã tư Lê Văn Sỹ,Trung tâm Y tế Quận 5,Đường Nguyễn Văn Quá,Cloudy,0,52,1.2
2025-03-14,17:52:28,Friday,Siêu thị Big C District 5,Đền Bà Thiên Hậu,Đường Lê Lợi,Sunny,1,2,4.87
2025-03-21,23:25:28,Friday,Siêu thị Big C District 5,Chợ Bình Đông,Đường Tô Hiệu,Cloudy,1,47,4.49
2025-03-18,05:59:28,Tuesday,Nhà thờ Chợ Lớn,Trung tâm Y tế Quận 5,Đường Tô Hiệu,Sunny,1,61,5.7
2025-02-27,00:14:28,Thursday,Công viên District 5,Trung tâm Văn hóa Dân gian,Đường Lê Lợi,Sunny,1,29,5.69
2025-03-01,06:33:28,Saturday,Chợ Bình Đông,Công viên District 5,Đường Pasteur,Cloudy,1,4,8.67
2025-03-11,18:57:28,Tuesday,Chợ Bình Tây,Trung tâm Thương Mại Chợ Lớn,Đường Cách Mạng Tháng Tám,Sunny,0,49,5.38
2025-03-01,08:49:28,Saturday,Chợ Bình Đông,Trường Tiểu học Chợ Lớn,Đường Pasteur,Sunny,0,27,8.88
2025-03-10,14:10:28,Monday,Trường Tiểu học Chợ Lớn,Trạm xe buýt Quận 5,Đường Lê Lợi,Cloudy,1,25,4.37
2025-02-25,23:53:28,Tuesday,Trung tâm Thương Mại Chợ Lớn,Đền Vua,Đường 3/2,Stormy,1,60,5.65
2025-03-22,05:26:28,Saturday,Đền Bà Thiên Hậu,Cửa hàng Điện máy X,Đường Trường Chinh,Sunny,1,49,3.26
2025-02-26,17:00:28,Wednesday,Nhà thờ Chợ Lớn,Chợ Bình Đông,Đường Cách Mạng Tháng Tám,Sunny,1,45,6.72
2025-03-12,18:05:28,Wednesday,Trường Trung học Chợ Lớn,Trung tâm Y tế Quận 5,Đường Đồng Khởi,Sunny,2,12,3.16
2025-03-14,07:13:28,Friday,Công viên District 5,Trung tâm Văn hóa Chợ Lớn,Đường Bạch Đằng,Cloudy,1,25,5.2
2025-03-11,14:25:28,Tuesday,Trung tâm Văn hóa Dân gian,Ngã tư Lê Văn Sỹ,Đường 3/2,Cloudy,1,11,2.4
2025-03-03,08:34:28,Monday,Chợ Bình Tây,Cửa hàng Điện máy X,Đường Trường Chinh,Sunny,1,13,7.33
2025-03-23,04:59:28,Sunday,Đền Bà Thiên Hậu,Trường Trung học Chợ Lớn,Đường Nguyễn Văn Quá,Sunny,3,5,5.68
2025-03-17,14:22:28,Monday,Chợ Bình Đông,Trung tâm Thương Mại Chợ Lớn,Đường Lý Thường Kiệt,Sunny,0,51,4.26
2025-03-26,07:06:28,Wednesday,Trung tâm Văn hóa Chợ Lớn,Bệnh viện Quận 5,Đường Đồng Khởi,Cloudy,3,19,5.61
2025-03-24,05:26:28,Monday,Ngã tư Lê Văn Sỹ,Nhà thờ Chợ Lớn,Đường Lý Tự Trọng,Cloudy,0,15,4.92
